year,month,births
1994,1,320705
1994,2,301327
1994,3,339736
1994,4,317392
1994,5,330295
1994,6,329737
1994,7,345862
1994,8,352173
1994,9,339223
1994,10,330172
1994,11,319397
1994,12,326748
1995,1,316013
1995,2,295094
1995,3,328503
1995,4,309119
1995,5,334543
1995,6,329805
1995,7,340873
1995,8,350737
1995,9,339103
1995,10,330012
1995,11,310817
1995,12,314970
1996,1,314283
1996,2,301763
1996,3,322581
1996,4,312595
1996,5,325708
1996,6,318525
1996,7,345162
1996,8,346317
1996,9,336348
1996,10,336346
1996,11,309397
1996,12,322469
1997,1,317211
1997,2,291541
1997,3,321212
1997,4,314230
1997,5,330331
1997,6,321867
1997,7,346506
1997,8,339122
1997,9,333600
1997,10,328657
1997,11,307282
1997,12,329335
1998,1,319340
1998,2,298711
1998,3,329436
1998,4,319758
1998,5,330519
1998,6,327091
1998,7,348651
1998,8,344736
1998,9,343384
1998,10,332790
1998,11,313241
1998,12,333896
1999,1,319182
1999,2,297568
1999,3,332939
1999,4,316889
1999,5,328526
1999,6,332201
1999,7,349812
1999,8,351371
1999,9,349409
1999,10,332980
1999,11,315289
1999,12,333251
2000,1,330108
2000,2,317377
2000,3,340553
2000,4,317180
2000,5,341207
2000,6,341206
2000,7,348975
2000,8,360080
2000,9,347609
2000,10,343921
2000,11,333811
2000,12,336787
2001,1,335198
2001,2,303534
2001,3,338684
2001,4,323613
2001,5,344017
2001,6,331085
2001,7,351047
2001,8,361802
2001,9,342564
2001,10,344074
2001,11,323746
2001,12,326569
2002,1,330674
2002,2,303977
2002,3,331505
2002,4,324432
2002,5,339007
2002,6,327588
2002,7,357669
2002,8,359417
2002,9,348814
2002,10,345814
2002,11,318573
2002,12,334256
2003,1,329803
2003,2,307248
2003,3,336920
2003,4,330106
2003,5,346754
2003,6,337425
2003,7,364226
2003,8,360103
2003,9,359644
2003,10,354048
2003,11,320094
2003,12,343579
2004,1,339077
2004,2,321348
2004,3,352379
2004,4,339079
2004,5,343248
2004,6,350876
2004,7,365380
2004,8,361835
2004,9,362895
2004,10,355048
2004,11,342359
2004,12,353339
2005,1,337478
2005,2,314890
2005,3,355121
2005,4,338060
2005,5,351736
2005,6,356576
2005,7,363196
2005,8,376467
2005,9,370354
2005,10,351161
2005,11,342182
2005,12,354720
2006,1,345976
2006,2,324435
2006,3,362520
2006,4,334587
2006,5,360901
2006,6,363615
2006,7,373445
2006,8,394199
2006,9,381204
2006,10,373685
2006,11,357976
2006,12,362611
2007,1,360521
2007,2,331617
2007,3,365888
2007,4,342981
2007,5,367491
2007,6,363486
2007,7,384861
2007,8,396355
2007,9,372774
2007,10,375272
2007,11,359335
2007,12,360203
2008,1,361868
2008,2,343354
2008,3,355484
2008,4,351344
2008,5,359835
2008,6,353430
2008,7,380707
2008,8,379046
2008,9,373625
2008,10,363420
2008,11,328905
2008,12,359719
2009,1,342975
2009,2,321122
2009,3,352571
2009,4,341822
2009,5,349831
2009,6,351620
2009,7,373491
2009,8,364795
2009,9,367694
2009,10,353059
2009,11,325247
2009,12,346764
2010,1,328120
2010,2,306393
2010,3,343448
2010,4,329137
2010,5,332651
2010,6,338966
2010,7,349648
2010,8,354727
2010,9,355887
2010,10,341767
2010,11,330984
2010,12,344247
2011,1,324845
2011,2,301927
2011,3,334439
2011,4,317225
2011,5,330667
2011,6,341637
2011,7,349841
2011,8,364194
2011,9,350662
2011,10,333132
2011,11,326107
2011,12,332232
2012,1,320661
2012,2,308262
2012,3,328123
2012,4,310118
2012,5,333908
2012,6,330785
2012,7,351472
2012,8,365501
2012,9,344333
2012,10,349973
2012,11,329306
2012,12,328426
2013,1,327352
2013,2,294882
2013,3,323629
2013,4,314847
2013,5,332868
2013,6,322868
2013,7,352495
2013,8,356879
2013,9,341676
2013,10,344285
2013,11,322157
2013,12,339399
2014,1,329962
2014,2,300899
2014,3,326267
2014,4,322329
2014,5,336504
2014,6,327680
2014,7,357476
2014,8,356066
2014,9,350497
2014,10,344471
2014,11,318655
2014,12,339726
